status,xa1,xa2,xb1,xb2,xc1,xc2,xd1,xd2
right,276,641,265,462,138,641,55,641
right,177,580,123,472,92,641,31,641
right,155,542,97,364,65,641,14,641
right,123,501,77,382,36,641,0,641
right,-1,467,27,377,120,641,-1,641
right,37,410,0,641,161,641,-1,641
right,-1,616,-1,641,212,641,-1,641
straight,115,368,-1,641,218,641,21,641
straight,291,636,-1,632,226,641,64,641
straight,262,593,-1,611,-1,641,56,641
straight,227,482,-1,569,-1,641,81,641
straight,179,440,-1,550,-1,641,107,641
straight,191,534,-1,556,-1,641,146,641
straight,172,472,-1,529,-1,639,143,641
straight,150,430,-1,524,-1,637,-1,641
straight,130,451,-1,496,-1,587,-1,641
straight,117,406,-1,473,-1,562,-1,641
straight,107,425,-1,456,-1,544,-1,641
straight,91,388,-1,436,-1,540,-1,641
straight,76,404,0,373,-1,503,-1,641
straight,47,364,10,345,-1,471,-1,639
left,307,349,26,341,-1,410,-1,602
left,292,332,18,320,-1,385,-1,590
left,310,357,18,641,-1,389,-1,539
left,310,344,44,641,-1,338,-1,502
left,317,372,268,641,-1,340,-1,487
left,319,325,84,641,-1,345,-1,476
left,134,389,82,320,-1,360,-1,477
left,197,435,86,354,-1,403,-1,486
left,219,440,117,354,-1,400,-1,492
left,255,465,140,378,-1,440,-1,523
left,32,512,161,406,-1,448,-1,525
left,319,591,120,462,-1,492,-1,555
left,-1,601,219,475,-1,510,-1,577
left,-1,626,179,528,-1,548,-1,616
left,156,633,226,535,-1,566,-1,627
left,178,641,239,581,-1,479,-1,641
left,193,641,280,629,-1,439,-1,641
left,-1,641,-1,641,-1,406,-1,641
left,274,597,-1,641,-1,393,-1,633
left,304,594,3,641,-1,394,-1,596
straight,315,320,3,641,-1,408,-1,606
straight,-1,357,8,641,-1,641,-1,559
straight,-1,397,13,641,-1,641,-1,554
straight,-1,487,70,641,-1,641,-1,531
straight,-1,488,64,641,-1,641,-1,540
straight,-1,505,84,641,-1,641,-1,641
straight,-1,508,95,641,-1,641,-1,641
straight,-1,517,139,641,0,641,-1,641
straight,-1,534,142,641,40,641,-1,641
straight,-1,535,150,641,31,641,-1,641
straight,-1,556,178,641,61,641,-1,641
straight,-1,569,205,641,90,641,-1,641
right,-1,587,234,641,128,641,-1,641
right,-1,589,262,641,153,641,-1,641
right,-1,582,278,641,174,641,0,641
right,-1,581,294,639,223,641,25,641
right,-1,540,292,604,235,641,56,641
right,-1,468,264,618,197,641,59,641
right,-1,453,254,554,194,641,71,641
right,-1,419,128,524,188,641,72,641
right,-1,343,200,539,148,641,55,641
right,311,320,175,513,147,641,47,641
right,287,449,163,491,121,641,38,641
right,250,403,126,440,92,641,15,641
right,28,364,91,320,70,641,0,641
right,156,503,206,378,22,641,-1,641
right,143,461,39,339,8,641,-1,641
straight,244,421,2,641,172,641,-1,641
straight,198,632,-1,641,205,641,-1,641
straight,307,368,-1,639,170,641,-1,641
straight,307,623,-1,613,194,641,0,641
straight,288,559,-1,596,-1,641,22,641
straight,289,588,-1,597,-1,641,61,641
straight,74,533,-1,570,-1,641,101,641
straight,259,534,-1,546,-1,639,129,641
straight,257,553,-1,552,-1,628,-1,641
straight,237,503,-1,533,-1,624,-1,641
straight,22,512,-1,493,-1,585,-1,641
straight,196,466,-1,463,-1,573,-1,641
straight,199,461,-1,452,-1,558,-1,641
straight,189,456,-1,457,-1,539,-1,641
straight,167,467,-1,406,-1,485,-1,639
straight,160,423,0,388,-1,466,-1,625
left,145,434,14,366,-1,469,-1,593
left,132,434,30,344,-1,417,-1,562
left,127,384,31,354,-1,425,-1,538
left,126,368,52,323,-1,389,-1,516
left,169,395,80,358,-1,400,-1,515
left,188,398,125,350,-1,405,-1,513
left,74,458,118,377,-1,428,-1,531
left,279,491,113,425,-1,471,-1,543
left,295,496,152,422,-1,466,-1,550
left,158,544,116,464,-1,496,-1,588
left,210,580,212,483,-1,523,-1,600
left,256,638,182,320,-1,555,-1,629
left,271,639,211,331,-1,592,-1,639
left,310,320,277,588,-1,627,-1,641
left,201,363,300,628,-1,424,-1,641
left,250,411,313,320,-1,395,-1,641
left,263,433,0,348,-1,394,-1,639
straight,44,619,2,387,-1,400,-1,611
straight,79,320,24,448,-1,416,-1,573
straight,134,385,33,504,-1,469,-1,555
straight,174,456,81,574,-1,534,-1,529
straight,161,465,78,597,-1,584,-1,508
straight,187,459,81,638,-1,589,-1,538
straight,155,461,94,639,0,638,-1,589
straight,135,463,130,641,19,639,-1,583
straight,184,488,141,641,33,641,-1,615
straight,181,496,154,641,69,641,-1,639
straight,157,507,182,641,83,641,-1,641
